key,value
"Residence Home",1815
"Hotel/Motel",200
"Unknown",101
"Highway/Alley/Street/Sidewalk",93
"Parking Garage/Lot",61
"Field/Woods",54
"Park/Playground",28
"Drug Store/Doctors Office/Hospital",26
"Jail/Prison/Corrections Facility",24
"School Elementary/Secondary",18
"School College/University",15
"Restaurant",14
"Commercial/Office Building",13
"Abandoned Condemned/Structure",10
"Convenience Store",9
"Bar/Nightclub",8
"Church/Synagogue/Temple/Mosque",8
"Government/Public Building",8
"Lake/Waterway/Beach",7
"Rental Storage Facility",5
"Mission/Homeless Shelter",5
"Gas Station",4
"Campground",3
"Community Center",3
"Department/Discount Store",3
"Grocery Store",3
"Shopping Mall",3
"Daycare Facility",2
"Farm Facility",2
"School/College",2
"Specialty Store",2
"Air/Bus/Train Terminal",1
"Amusement Park",1
"ATM Separate From Bank",1
"Construction Site",1
"Rest Area",1
"Bank",0
"Arena/Stadium/Fairgrounds",0
"Auto Dealership",0
"Cyberspace",0
"Dock/Wharf/Shipping Terminal",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Liquor Store",0
"Military Base",0
"Tribal Lands",0
