key,value
"Residence Home",387
"Highway/Alley/Street/Sidewalk",168
"Parking Garage/Lot",49
"Convenience Store",22
"Unknown",21
"Hotel/Motel",14
"Field/Woods",12
"Bar/Nightclub",10
"Park/Playground",10
"Commercial/Office Building",8
"Gas Station",6
"Drug Store/Doctors Office/Hospital",5
"Jail/Prison/Corrections Facility",5
"Restaurant",5
"Church/Synagogue/Temple/Mosque",3
"Grocery Store",3
"Air/Bus/Train Terminal",2
"School Elementary/Secondary",2
"Amusement Park",1
"Community Center",1
"Construction Site",1
"Department/Discount Store",1
"Gambling Facility/Casino/Race Track",1
"Government/Public Building",1
"Industrial Site",1
"Liquor Store",1
"Mission/Homeless Shelter",1
"Specialty Store",1
"Bank",0
"Abandoned Condemned/Structure",0
"Arena/Stadium/Fairgrounds",0
"ATM Separate From Bank",0
"Auto Dealership",0
"Campground",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Shipping Terminal",0
"Farm Facility",0
"Lake/Waterway/Beach",0
"Military Base",0
"Rental Storage Facility",0
"Rest Area",0
"School/College",0
"School College/University",0
"Shopping Mall",0
"Tribal Lands",0
