key,value
"Residence Home",23207
"Highway/Alley/Street/Sidewalk",7236
"Convenience Store",1786
"Parking Garage/Lot",1783
"Hotel/Motel",1038
"Unknown",975
"Gas Station",971
"Restaurant",811
"Specialty Store",574
"Department/Discount Store",571
"Park/Playground",434
"Commercial/Office Building",420
"Grocery Store",410
"Field/Woods",343
"Jail/Prison/Corrections Facility",279
"Drug Store/Doctors Office/Hospital",278
"Bar/Nightclub",243
"Gambling Facility/Casino/Race Track",137
"Bank",132
"School Elementary/Secondary",130
"Government/Public Building",104
"Air/Bus/Train Terminal",82
"Shopping Mall",80
"Church/Synagogue/Temple/Mosque",64
"Rest Area",64
"Lake/Waterway/Beach",40
"School College/University",39
"Rental Storage Facility",33
"Daycare Facility",32
"ATM Separate From Bank",27
"Construction Site",23
"Mission/Homeless Shelter",23
"Abandoned Condemned/Structure",22
"Industrial Site",20
"Auto Dealership",19
"Campground",18
"Liquor Store",18
"Community Center",13
"Amusement Park",10
"Farm Facility",8
"School/College",8
"Dock/Wharf/Shipping Terminal",6
"Arena/Stadium/Fairgrounds",5
"Cyberspace",0
"Military Base",0
"Tribal Lands",0
