key,value
"Destruction/Damage/Vandalism of Property",3410
"Simple Assault",931
"Weapon Law Violations",924
"Burglary/Breaking & Entering",724
"Kidnapping/Abduction",711
"Drug/Narcotic Violations",535
"All Other Larceny",362
"Aggravated Assault",283
"Drug Equipment Violations",266
"Robbery",210
"Motor Vehicle Theft",172
"Intimidation",149
"Stolen Property Offenses",145
"Murder and Nonnegligent Manslaughter",136
"Shoplifting",91
"Theft from Motor Vehicle",85
"Theft From Building",59
"Sodomy",52
"False Pretenses/Swindle/Confidence game",42
"Fondling",31
"Bribery",31
"Credit Card/Automated Teller Machine Fraud",23
"Arson",21
"Sexual Assault with an Object",17
"Counterfeiting/Forgery",11
"Animal Cruelty",8
"Purse-snatching",7
"Identity Theft",6
"Pocket-Picking",6
"Statutory Rape",4
"Theft of Motor Vehicle Parts or Accessories",4
"Assisting or Promoting Prostitution",4
"Impersonation",3
"Pornography/Obscene Material",3
"Human Trafficking, Involuntary Servitude",3
"Prostitution",2
"Human Trafficking, Commercial Sex Acts",2
"Purchasing Prostitution",2
"Negligent Manslaughter",1
"Wire Fraud",1
"Embezzlement",1
"Welfare Fraud",0
"Extortion/Blackmail",0
"Theft from Coin-operated Machine or Device",0
"Gambling Equipment Violation",0
"Incest",0
"Operating/Promoting/Assisting Gambling",0
"Hacking/Computer Invasion",0
"Sports Tampering",0
"Betting/Wagering",0
