key,value
"Personal Weapons",1107
"None",779
"Unknown",399
"Handgun",60
"Knife/Cutting Instrument",51
"Other",41
"Drugs/Narcotics/Sleeping Pills",31
"Firearm",12
"Blunt Object",7
"Handgun (Automatic)",6
"Asphyxiation",6
"Other Firearm",3
"Rifle (Automatic)",1
"Shotgun",1
"Firearm (Automatic)",0
"Rifle",0
"Shotgun (Automatic)",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Drowning",0
"Strangulation - Include Hanging",0
"Unarmed",0
"Lethal Cutting Instrument",0
"Club/Blackjack/Brass Knuckles",0
"Motor Vehicle",0
"Poison",0
"Explosives",0
"Fire/Incendiary Device",0
