key,value
"Handgun",279
"Firearm",195
"Knife/Cutting Instrument",51
"Unknown",38
"Personal Weapons",33
"Rifle",25
"Handgun (Automatic)",17
"Drugs/Narcotics/Sleeping Pills",14
"Blunt Object",10
"Shotgun",8
"Other",6
"Other Firearm",3
"Asphyxiation",3
"Firearm (Automatic)",2
"Rifle (Automatic)",2
"None",0
"Shotgun (Automatic)",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Drowning",0
"Strangulation - Include Hanging",0
"Unarmed",0
"Lethal Cutting Instrument",0
"Club/Blackjack/Brass Knuckles",0
"Motor Vehicle",0
"Poison",0
"Explosives",0
"Fire/Incendiary Device",0
