key,value
"Handgun",8565
"Personal Weapons",6160
"Knife/Cutting Instrument",3684
"Firearm",3259
"None",1897
"Blunt Object",1796
"Unknown",1118
"Other",1054
"Rifle",772
"Handgun (Automatic)",439
"Shotgun",366
"Other Firearm",235
"Asphyxiation",168
"Firearm (Automatic)",112
"Drugs/Narcotics/Sleeping Pills",53
"Rifle (Automatic)",46
"Fire/Incendiary Device",30
"Explosives",20
"Poison",13
"Shotgun (Automatic)",5
"Other Firearm (Automatic)",4
"Pushed or Thrown Out Window",0
"Drowning",0
"Strangulation - Include Hanging",0
"Unarmed",0
"Lethal Cutting Instrument",0
"Club/Blackjack/Brass Knuckles",0
"Motor Vehicle",0
