key,value
"Relationship Unknown",14599
"Stranger",7437
"Acquaintance",5782
"Boyfriend/Girlfriend",4017
"Otherwise Known",3169
"Friend",1112
"Spouse",886
"Offender",779
"Child",734
"Other Family Member",664
"Neighbor",597
"Sibling",509
"Parent",428
"Ex Spouse",292
"Child of Boyfriend/Girlfriend",148
"Stepchild",116
"In-Law",107
"Common Law Spouse",74
"Stepparent",73
"Employee",64
"Grandchild",60
"Grandparent",46
"Employer",37
"Stepsibling",27
"Babysittee",20
"Homosexual Relationship",0
