Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Algeria,313,645,-51,7,18,28,-36,0.4,45180374
Angola,83,75,11,2,0,1,-100,0,34581244
Benin,8,0,800,0.6,0,0,0,0,12656015
Botswana,0,1298,-100,0,0,5,-100,0,2431329
Burundi,51,116,-56,4,0,0,0,0,12484888
CAR,95,38,150,19,0,0,0,0,4970746
Cabo Verde,16,23,-30,28,0,0,0,0,566129
Cameroon,82,133,-38,3,3,3,0,0.1,27654720
Chad,3,9,-67,0.2,0,0,0,0,17216627
Comoros,18,9,100,20,0,0,0,0,900693
Congo,0,95,-100,0,0,1,-100,0,5746012
DRC,115,163,-29,1,0,0,0,0,94129047
Djibouti,3,5,-40,3,0,0,0,0,1012125
Egypt,7681,11644,-34,73,134,253,-47,1,105574524
Equatorial Guinea,10,10,0,7,1,0,100,0.7,1480296
Eritrea,12,15,-20,3,0,0,0,0,3628841
Eswatini,140,170,-18,119,1,0,100,0.8,1180338
Ethiopia,277,344,-19,2,14,22,-36,0.1,119742244
Gabon,19,37,-49,8,0,0,0,0,2313871
Gambia,24,15,60,9,0,0,0,0,2530577
Ghana,749,1003,-25,23,0,1,-100,0,32161642
Guinea,30,4,650,2,0,0,0,0,13730484
Guinea-Bissau,16,69,-77,8,1,1,0,0.5,2046061
Ivory Coast,76,86,-12,3,2,2,0,0.1,27474411
Kenya,137,242,-43,2,2,1,100,0,55759229
Lesotho,104,13,700,48,1,0,100,0.5,2170773
Liberia,0,24,-100,0,0,4,-100,0,5257179
Libya,3724,6548,-43,530,45,59,-24,6,7028193
Madagascar,132,226,-42,5,7,16,-56,0.2,28885550
Malawi,105,109,-4,5,4,6,-33,0.2,19959422
Mali,18,31,-42,0.8,3,0,300,0.1,21229401
Mauritania,16,20,-20,3,1,2,-50,0.2,4854731
Mauritius,1288,1734,-26,1010,0,0,0,0,1275313
Mayotte,41,31,32,144,0,0,0,0,283861
Morocco,645,1547,-58,17,35,72,-51,0.9,37645271
Mozambique,87,126,-31,3,5,2,150,0.2,32724605
Namibia,106,194,-45,40,7,5,40,3,2618155
Niger,13,11,18,0.5,0,1,-100,0,25676087
Nigeria,207,218,-5,1,0,0,0,0,214713307
Rwanda,51,97,-47,4,1,0,100,0.1,13491003
Réunion,8019,10036,-20,8851,14,26,-46,15,906044
Sao Tome and Principe,0,4,-100,0,0,0,0,0,225991
Senegal,73,99,-26,4,2,1,100,0.1,17484298
Seychelles,202,222,-9,2033,0,3,-100,0,99370
Sierra Leone,1,2,-50,0.1,0,0,0,0,8249277
Somalia,49,38,29,3,0,0,0,0,16637162
South Africa,10865,13659,-20,179,195,562,-65,3,60564416
South Sudan,47,38,24,4,0,0,0,0,11414119
Sudan,143,138,4,3,11,29,-62,0.2,45567463
Togo,32,51,-37,4,0,0,0,0,8604352
Tunisia,6363,8958,-29,529,119,197,-40,10,12026312
Uganda,141,204,-31,3,4,8,-50,0.1,48164108
Zambia,1189,1378,-14,62,6,7,-14,0.3,19247766
Zimbabwe,3472,2891,20,228,5,7,-29,0.3,15226225
,,,,,,,,,
Total,47091,64895,991,14061.2,641,1325,-249,44.1,1309382221
